UNIVERSIDADE, PRED, PCN, PCH, PLING, PMAT
UFRJ, 4, 4, 1, 2, 2
UFF, 3, 3, 1, 2, 1
UFPB, 1, 1, 1, 1, 1
UFRN, 1.5, 3, 1.5, 1.5, 1
UFPE, 2, 3, 1, 2, 2
UFMG, 1, 1, 1, 1, 1
UFC, 1, 1, 1, 1, 1
UFBA, 3, 4, 3, 3, 2
UEPB, 1, 1, 1, 1, 1
UFMA, 1, 1, 1, 1, 1
UFS, 2, 3.5, 1, 2, 1.5
UFPI, 3, 5, 2, 5, 4
UFES, 4, 4, 2, 3, 2
UFMT, 1, 1, 1, 1, 1
UFCG, 1, 1, 1, 1, 1
UFG, 2, 3, 1.5, 2, 1.5
UESB, 5, 4, 2, 5, 2
UFPEL, 1, 1, 1, 1, 1
UFSM, 1, 1, 1, 1, 1
UFV, 1, 1, 1, 1, 1
UFU, 1, 2, 1, 1, 1
UFSCAR, 2, 2, 1, 2, 1
UFOP, 2, 2, 1, 1, 1
UFSJ, 2, 2, 1, 2, 1
UFRB, 1, 1, 1, 1, 1
UNIRIO, 3, 3, 2, 3, 2
UFAM, 2, 2, 1, 2, 1
UNILA, 1, 1, 1, 1, 1
UFMS, 2, 3, 2, 2, 1
UFLA, 2, 2, 2, 2, 2
UFPR, 1, 1, 1, 1, 1
UNIOESTE, 3, 3, 2, 2, 2
UFR, 1, 1, 1, 1, 1
UFCA, 2, 3, 1.5, 2, 1.5
UFCAT, 2, 3, 1.5, 2, 1.5
UFJF, 1, 1, 1, 1, 1
UNIPAMPA, 1, 1, 1, 1, 1
